id,main_db_topic_id,subject_id,subject_label,name,grade,class_level,level_tag,topic_family,classes,last_synced_at,status,created_at,updated_at
63,319,1,math,2D & 3D Geometry,grade 5,,Intermediate,Geometry,4,"""2026-05-21T10:19:23.968Z""",active,"""2026-05-21T10:15:47.596Z""","""2026-05-21T10:19:23.968Z"""
64,320,1,math,"Perimeter, Area & Measurement",grade 5,,Intermediate,Measurement,5,"""2026-05-21T10:19:24.035Z""",active,"""2026-05-21T10:15:47.643Z""","""2026-05-21T10:19:24.035Z"""
65,321,1,math,Data Analysis,grade 5,,Beginner,Data & Statistics,3,"""2026-05-21T10:19:24.074Z""",active,"""2026-05-21T10:15:47.675Z""","""2026-05-21T10:19:24.074Z"""
66,322,1,math,Advanced Arithmetic,grade 6,,Expert,Number Operations,4,"""2026-05-21T10:19:24.132Z""",active,"""2026-05-21T10:15:47.707Z""","""2026-05-21T10:19:24.133Z"""
67,323,1,math,Integers & Operations,grade 6,,Beginner,Number Theory,5,"""2026-05-21T10:19:24.178Z""",active,"""2026-05-21T10:15:47.741Z""","""2026-05-21T10:19:24.178Z"""
68,324,1,math,Fractions & Decimals,grade 6,,Advanced,Fractions,5,"""2026-05-21T10:19:24.226Z""",active,"""2026-05-21T10:15:47.772Z""","""2026-05-21T10:19:24.226Z"""
69,325,1,math,"Factors, Multiples & Exponents",grade 6,,Intermediate,Number Theory,4,"""2026-05-21T10:19:24.276Z""",active,"""2026-05-21T10:15:47.812Z""","""2026-05-21T10:19:24.276Z"""
70,326,1,math,Introduction to Algebra,grade 6,,Intermediate,Patterns & Algebra,6,"""2026-05-21T10:19:24.321Z""",active,"""2026-05-21T10:15:47.845Z""","""2026-05-21T10:19:24.321Z"""
71,327,1,math,Algebraic Expressions,grade 6,,Beginner,Patterns & Algebra,5,"""2026-05-21T10:19:24.358Z""",active,"""2026-05-21T10:15:47.953Z""","""2026-05-21T10:19:24.358Z"""
72,328,1,math,Geometry: Shapes & Properties,grade 6,,Intermediate,Geometry,4,"""2026-05-21T10:19:24.487Z""",active,"""2026-05-21T10:15:47.989Z""","""2026-05-21T10:19:24.488Z"""
